2237	7	2290	0	RR	55617	44.6	NULL	NULL	0	1
2237	7	2290	1	RR	55617	45.3	NULL	NULL	0	1
2237	7	2320	0	RR	55617	62.2	NULL	NULL	0	1
2237	7	2320	1	RR	55617	59.1	NULL	NULL	0	1
2237	7	3210	0	RR	55617	46.5	120	NULL	0	1
2237	7	3210	1	RR	55617	46.5	118	NULL	0	1
2237	7	3310	0	RR	55617	59.2	121	NULL	0	1
2237	7	3310	1	RR	55617	62.5	122	NULL	0	1
2237	7	3490	0	RR	55617	60.2	123	NULL	0	1
2237	7	3490	1	RR	55617	57.8	126	NULL	0	1
2238	8	140	0	RR	68675	40.9	NULL	NULL	0	1
2238	8	140	0	RR	68681	51.5	NULL	NULL	0	1
2238	8	550	0	RR	68675	46.9	NULL	NULL	0	1
2238	8	550	0	RR	68681	48	NULL	NULL	0	1
2238	8	1110	0	RR	68675	41.3	109	NULL	0	1
2238	8	1110	0	RR	68681	41.3	118	NULL	0	1
2238	8	1110	1	RR	68675	39.1	112	NULL	0	1
2238	8	1110	1	RR	68681	46.9	118	NULL	0	1
2238	8	1250	0	RR	68675	54.7	NULL	NULL	0	1
2238	8	1250	0	RR	68681	53.6	NULL	NULL	0	1
2241	8	4310	0	RR	70576	58.1	115	NULL	0	1
2241	8	4310	1	RR	70576	70.4	115	NULL	0	1
2241	8	4440	0	RR	70576	66.5	NULL	NULL	0	1
2241	8	4440	1	RR	70576	61.1	NULL	NULL	0	1
2241	8	5210	0	RR	70576	37.3	NULL	NULL	0	1
2241	8	5210	1	RR	70576	41.7	NULL	NULL	0	1
2241	8	5240	0	RR	70576	56.8	NULL	NULL	0	1
2241	8	5240	1	RR	70576	68.6	NULL	NULL	0	1
2241	8	5410	0	RR	70576	48.8	NULL	NULL	0	1
2241	8	5410	1	RR	70576	48.5	NULL	NULL	0	1
2243	6	3210	0	RR	47295	61.2	130	NULL	0	1
2243	6	3210	0	RR	47304	55	129	NULL	0	1
2243	6	3210	1	RR	47295	55	129	NULL	0	1
2243	6	3210	1	RR	47304	59.1	129	NULL	0	1
2243	6	3310	0	RR	47295	64.1	140	NULL	0	1
2243	6	3310	0	RR	47304	66.6	141	NULL	0	1
2243	6	3310	1	RR	47295	69	141	NULL	0	1
2243	6	3310	1	RR	47304	69	143	NULL	0	1
2243	6	3320	0	RR	47295	56.9	137	NULL	0	1
