0,4,5,0,0
1,11,5,1,0
2,5,4,0,0
3,2,3,0,0
4,8,4,0,0
5,1,3,1,1
6,1,2,0,0
7,9,4,1,0
8,5,4,0,0
9,3,4,0,0
10,2,2,0,0
11,2,4,0,0
12,6,5,0,0
13,4,4,1,0
14,4,4,0,0
15,7,5,1,0
16,5,4,0,0
17,8,6,0,0
18,7,5,0,0
19,8,4,0,0
20,5,4,3,0
21,6,5,0,0
22,8,4,0,0
23,9,4,0,0
24,9,4,1,0
25,10,4,0,0
26,6,4,0,0
27,4,4,0,0
28,4,6,0,0
29,11,4,0,0
30,8,4,0,0
31,9,4,0,0
32,4,6,0,0
33,2,4,0,0
34,4,5,0,0
35,8,5,0,0
36,6,5,0,0
37,4,3,1,0
38,7,5,0,0
39,3,3,0,0
40,4,4,0,0
41,3,4,0,0
42,8,5,0,0
43,8,5,0,0
44,3,4,0,0
45,2,4,1,0
46,1,4,0,0
47,6,6,0,0
48,8,5,0,0
49,6,5,0,0
50,10,4,0,0
51,5,4,0,0
52,2,4,0,0
53,6,5,4,0
54,7,4,0,0
55,4,8,1,0
56,6,6,0,0
57,12,4,0,0
58,10,4,0,0
59,1,2,0,0
60,5,4,0,0
61,4,4,0,0
62,12,5,0,0
63,2,4,0,0
64,8,5,0,0
65,2,4,0,0
66,8,5,0,0
67,1,2,1,1
68,9,4,0,0
69,5,4,0,0
70,5,5,0,0
71,9,6,0,0
72,5,4,0,0
73,9,6,0,0
74,6,4,0,0
75,4,4,0,0
76,3,4,0,0
77,5,4,0,0
78,11,5,0,0
79,3,4,0,0
80,1,6,1,1
81,12,5,1,0
82,3,4,0,0
83,2,4,0,0
84,5,6,0,0
85,6,6,0,0
86,10,4,1,0
87,3,4,0,0
88,5,4,0,0
89,8,4,0,0
90,5,4,4,0
91,5,4,0,0
92,1,4,0,0
93,8,5,0,0
94,8,4,0,0
95,6,6,0,0
96,7,4,0,0
97,2,4,0,0
98,5,4,0,0
99,3,4,0,0
100,7,4,0,0
101,2,4,0,0
102,5,7,1,0
103,2,4,0,0
104,2,4,0,0
105,6,4,0,0
106,2,4,0,0
107,5,4,2,0
108,2,5,0,0
109,3,4,0,0
110,7,5,1,0
111,2,4,0,0
112,6,4,0,0
113,5,4,0,0
114,5,4,0,0
115,10,4,1,0
116,10,4,1,0
117,8,4,1,0
118,6,6,0,0
119,10,4,0,0
120,14,4,0,0
121,5,4,0,0
122,5,4,0,0
123,3,4,0,0
124,9,4,0,0
125,9,4,2,0
126,4,4,1,0
127,4,5,1,0
128,4,4,0,0
129,1,4,0,0
130,5,7,0,0
131,2,3,0,0
132,1,3,0,0
133,3,4,0,0
134,6,7,0,0
135,14,4,1,0
136,3,4,2,0
137,10,5,0,0
138,10,5,1,0
139,10,4,0,0
140,2,2,0,0
141,7,4,1,0
142,10,4,0,0
143,9,4,1,0
144,6,4,3,0
145,4,6,0,0
146,4,4,0,0
147,5,4,0,0
148,6,6,0,0
149,8,5,0,0
150,1,4,2,2
151,1,2,0,0
152,7,4,1,0
153,2,4,0,0
154,7,4,0,0
155,11,6,0,0
156,12,4,0,0
157,9,4,1,0
158,2,3,0,0
159,7,4,0,0
160,5,4,0,0
161,3,4,0,0
162,10,3,0,0
163,3,4,0,0
164,10,3,3,0
165,4,5,0,0
166,7,4,0,0
167,1,12,0,0
168,8,5,2,0
169,10,5,1,0
170,2,3,0,0
171,9,4,1,0
172,2,4,0,0
173,5,4,0,0
174,1,4,0,0
175,6,4,2,0
176,5,3,2,0
177,2,4,0,0
178,4,4,0,0
179,5,5,0,0
180,3,4,0,0
181,6,5,1,0
182,5,4,0,0
183,3,4,0,0
184,4,5,0,0
185,2,4,0,0
186,2,4,0,0
187,12,5,1,0
188,2,2,1,0
